date,channel,campaign,audience_segment,device,landing_page,impressions,clicks,cost_eur,conversions,revenue_eur,ctr,cpc,conversion_rate,cpa,roas
2026-04-20,Paid Search,Spring Promo,High-intent prospects,Mobile,/promo,20658,1029,1362.09,96,8188.51,0.0498,1.32,0.0933,14.19,6.01
2026-04-20,Paid Search,Spring Promo,High-intent prospects,Desktop,/promo,18690,933,1253.36,78,6808.3,0.0499,1.34,0.0836,16.07,5.43
2026-04-20,Paid Social,New Collection Awareness,Lookalike audience,Mobile,/collection,27773,818,926.56,44,3377.38,0.0295,1.13,0.0538,21.06,3.65
2026-04-20,Paid Social,New Collection Awareness,Lookalike audience,Desktop,/collection,25128,753,874.68,41,3399.06,0.03,1.16,0.0544,21.33,3.89
2026-04-20,Email,Service Renewal,Existing customers,Mobile,/service-booking,10686,638,206.93,71,6037.82,0.0597,0.32,0.1113,2.91,29.18
2026-04-20,Email,Service Renewal,Existing customers,Desktop,/service-booking,9668,605,189.95,66,5588.74,0.0626,0.31,0.1091,2.88,29.42
2026-04-20,Display,Store Locator Push,Local prospects,Mobile,/store-locator,31980,518,656.27,25,1769.6,0.0162,1.27,0.0483,26.25,2.7
2026-04-20,Display,Store Locator Push,Local prospects,Desktop,/store-locator,28934,439,554.28,22,1527.41,0.0152,1.26,0.0501,25.19,2.76
2026-04-27,Paid Search,Spring Promo,High-intent prospects,Mobile,/promo,26205,1219,1573.0,113,10232.33,0.0465,1.29,0.0927,13.92,6.5
2026-04-27,Paid Search,Spring Promo,High-intent prospects,Desktop,/promo,23710,1132,1457.26,101,8773.79,0.0477,1.29,0.0892,14.43,6.02
2026-04-27,Paid Social,New Collection Awareness,Lookalike audience,Mobile,/collection,34016,1019,1148.09,56,4329.45,0.03,1.13,0.055,20.5,3.77
2026-04-27,Paid Social,New Collection Awareness,Lookalike audience,Desktop,/collection,30777,896,1108.04,44,3326.57,0.0291,1.24,0.0491,25.18,3.0
2026-04-27,Email,Service Renewal,Existing customers,Mobile,/service-booking,9628,594,193.03,66,5447.83,0.0617,0.32,0.1111,2.92,28.22
2026-04-27,Email,Service Renewal,Existing customers,Desktop,/service-booking,8711,537,173.15,57,4869.45,0.0616,0.32,0.1061,3.04,28.12
2026-04-27,Display,Store Locator Push,Local prospects,Mobile,/store-locator,35895,549,695.11,26,1786.68,0.0153,1.27,0.0474,26.73,2.57
2026-04-27,Display,Store Locator Push,Local prospects,Desktop,/store-locator,32476,505,666.34,24,1704.16,0.0155,1.32,0.0475,27.76,2.56
2026-05-04,Paid Search,Spring Promo,High-intent prospects,Mobile,/promo,21824,1060,1428.97,100,8833.62,0.0486,1.35,0.0943,14.29,6.18
2026-05-04,Paid Search,Spring Promo,High-intent prospects,Desktop,/promo,19745,930,1267.73,83,7169.99,0.0471,1.36,0.0892,15.27,5.66
2026-05-04,Paid Social,New Collection Awareness,Lookalike audience,Mobile,/collection,31216,895,1048.32,46,3424.96,0.0287,1.17,0.0514,22.79,3.27
2026-05-04,Paid Social,New Collection Awareness,Lookalike audience,Desktop,/collection,28243,898,1075.14,49,3894.8,0.0318,1.2,0.0546,21.94,3.62
2026-05-04,Email,Service Renewal,Existing customers,Mobile,/service-booking,10673,634,210.29,64,5466.2,0.0594,0.33,0.1009,3.29,25.99
2026-05-04,Email,Service Renewal,Existing customers,Desktop,/service-booking,9656,607,213.26,65,5458.65,0.0629,0.35,0.1071,3.28,25.6
2026-05-04,Display,Store Locator Push,Local prospects,Mobile,/store-locator,34432,514,630.32,25,1647.79,0.0149,1.23,0.0486,25.21,2.61
2026-05-04,Display,Store Locator Push,Local prospects,Desktop,/store-locator,31152,470,585.32,23,1539.13,0.0151,1.25,0.0489,25.45,2.63
2026-05-11,Paid Search,Spring Promo,High-intent prospects,Mobile,/promo,23409,1215,1640.17,113,9661.79,0.0519,1.35,0.093,14.51,5.89
2026-05-11,Paid Search,Spring Promo,High-intent prospects,Desktop,/promo,21180,1067,1435.4,103,9144.81,0.0504,1.35,0.0965,13.94,6.37
2026-05-11,Paid Social,New Collection Awareness,Lookalike audience,Mobile,/collection,29973,890,1023.22,47,3397.42,0.0297,1.15,0.0528,21.77,3.32
2026-05-11,Paid Social,New Collection Awareness,Lookalike audience,Desktop,/collection,27118,823,927.76,39,2952.63,0.0303,1.13,0.0474,23.79,3.18
2026-05-11,Email,Service Renewal,Existing customers,Mobile,/service-booking,10892,641,205.25,71,5880.24,0.0589,0.32,0.1108,2.89,28.65
2026-05-11,Email,Service Renewal,Existing customers,Desktop,/service-booking,9855,575,182.07,62,4866.47,0.0583,0.32,0.1078,2.94,26.73
2026-05-11,Display,Store Locator Push,Local prospects,Mobile,/store-locator,37684,553,746.19,26,1734.84,0.0147,1.35,0.047,28.7,2.32
2026-05-11,Display,Store Locator Push,Local prospects,Desktop,/store-locator,34095,495,619.75,24,1540.71,0.0145,1.25,0.0485,25.82,2.49
