contact_id,acquisition_channel,signup_date,has_purchase,days_since_last_activity,consent_status,consent_source,page_views,key_page_views,email_clicks,form_submits,demo_request,webinar_signup
C00230,Organic Search,2026-01-19,1,137,opted_in,gated_content,8,1,0,0,0,0
C00231,Organic Search,2026-05-28,1,14,opted_in,signup_form,1,0,6,1,1,0
C00232,Organic Search,2026-02-12,1,108,unknown,unknown,5,1,0,0,0,1
C00233,Organic Search,2026-04-04,1,35,opted_in,newsletter,17,3,3,2,0,1
C00234,Organic Search,2025-12-01,1,189,opted_out,event,6,2,0,0,1,0
C00235,Organic Search,2026-04-22,1,8,unknown,unknown,15,2,0,2,1,1
C00236,Organic Search,2026-05-14,1,33,opted_in,gated_content,19,4,6,0,1,0
C00237,Organic Search,2026-02-11,1,116,opted_in,event,8,1,5,2,1,1
C00238,Organic Search,2026-01-22,1,133,opted_in,gated_content,9,1,5,3,0,1
C00239,Organic Search,2026-03-28,1,21,opted_in,newsletter,17,3,6,1,0,1
C00240,Organic Search,2026-04-07,1,67,opted_in,gated_content,10,2,3,0,1,0
C00241,Organic Search,2025-12-17,1,148,opted_in,import,10,3,4,0,0,0
C00242,Organic Search,2026-05-15,1,28,opted_in,gated_content,6,1,2,2,0,0
C00243,Organic Search,2026-04-03,1,57,opted_in,import,5,1,4,1,0,0
C00244,Organic Search,2026-04-15,1,66,opted_in,event,9,3,0,1,0,0
C00245,Organic Search,2025-12-07,1,190,opted_in,import,4,1,4,0,0,0
C00246,Organic Search,2026-02-04,1,127,opted_in,signup_form,15,4,5,1,0,0
C00247,Organic Search,2025-12-13,1,133,opted_in,signup_form,4,0,4,0,0,0
C00248,Organic Search,2026-02-17,1,7,opted_in,signup_form,16,1,4,1,1,0
C00249,Organic Search,2026-02-11,1,128,opted_in,signup_form,14,2,0,1,1,1
C00250,Organic Search,2026-01-17,1,72,opted_in,newsletter,11,2,6,1,1,0
C00251,Organic Search,2025-12-12,1,178,opted_in,signup_form,15,4,5,2,1,0
C00252,Organic Search,2026-04-08,1,72,unknown,unknown,6,0,0,2,0,0
C00253,Organic Search,2026-03-25,1,74,opted_in,event,16,2,3,3,1,0
C00254,Organic Search,2026-02-11,1,116,opted_in,import,12,3,2,1,0,0
C00255,Organic Search,2025-12-01,1,155,opted_in,import,16,2,10,2,1,1
C00256,Organic Search,2026-04-23,1,38,opted_in,newsletter,12,3,4,1,0,0
C00257,Organic Search,2025-12-06,1,186,opted_in,signup_form,10,1,4,1,1,0
C00258,Organic Search,2026-01-22,1,136,opted_in,import,11,2,4,1,0,0
C00259,Organic Search,2026-03-08,1,57,opted_in,signup_form,6,2,4,1,0,0
C00260,Organic Search,2026-02-05,1,110,opted_in,import,12,1,2,0,1,1
C00261,Organic Search,2026-05-21,1,10,opted_in,newsletter,13,2,9,3,1,0
C00262,Organic Search,2026-04-22,1,46,opted_out,import,17,2,0,1,1,0
C00263,Organic Search,2025-12-27,1,164,opted_in,gated_content,10,3,6,1,1,0
C00264,Organic Search,2026-02-25,1,48,opted_in,import,14,3,4,1,1,0
C00265,Organic Search,2025-12-24,1,162,opted_in,signup_form,3,1,2,0,0,0
C00266,Organic Search,2026-03-04,1,62,opted_in,event,13,2,5,1,0,0
C00267,Organic Search,2026-05-01,1,36,opted_in,signup_form,8,5,4,1,1,0
C00268,Organic Search,2025-12-14,1,99,opted_in,gated_content,8,1,2,0,0,0
C00269,Organic Search,2026-05-18,1,25,opted_in,import,14,3,1,3,1,1
C00270,Organic Search,2026-01-26,1,39,opted_in,gated_content,12,2,3,0,0,0
C00271,Organic Search,2026-04-01,1,71,opted_in,event,10,1,6,1,0,0
C00272,Organic Search,2025-12-25,1,171,opted_in,gated_content,12,2,3,3,1,0
C00273,Organic Search,2026-02-05,1,82,opted_in,event,7,2,4,1,0,0
C00274,Organic Search,2026-04-02,1,68,opted_out,import,12,4,0,2,1,0
C00275,Organic Search,2026-02-10,1,72,opted_in,gated_content,8,1,1,0,1,1
C00276,Organic Search,2026-03-28,1,8,opted_in,signup_form,16,4,7,1,1,0
C00277,Organic Search,2026-01-02,1,122,opted_in,newsletter,9,2,4,1,1,0
C00278,Organic Search,2026-04-02,1,46,opted_in,event,8,2,6,2,0,0
C00279,Organic Search,2025-12-01,1,151,opted_in,event,13,3,2,1,0,0
C00280,Organic Search,2025-12-03,1,144,opted_in,event,7,4,5,0,1,0
C00281,Organic Search,2026-03-13,1,85,opted_in,event,10,2,4,1,1,0
C00282,Organic Search,2025-12-03,1,190,unknown,unknown,12,3,0,0,1,0
C00283,Organic Search,2026-05-25,1,23,opted_in,event,13,2,5,2,1,0
C00284,Organic Search,2026-03-14,1,29,opted_in,import,4,1,3,1,1,0
C00285,Organic Search,2025-12-18,1,84,opted_in,signup_form,12,1,5,1,1,0
C00286,Organic Search,2026-05-28,1,14,opted_in,newsletter,9,2,1,1,0,0
C00287,Organic Search,2026-01-06,1,103,opted_in,newsletter,14,3,6,2,1,0
C00288,Organic Search,2025-12-10,1,182,opted_in,gated_content,6,2,5,0,0,0
C00289,Organic Search,2026-03-05,1,96,opted_in,event,13,3,6,2,0,0
C00290,Organic Search,2026-03-12,1,54,opted_in,event,14,3,8,1,1,0
C00291,Organic Search,2026-05-01,1,30,opted_in,signup_form,12,3,2,2,0,0
C00292,Organic Search,2026-04-13,1,67,opted_in,import,8,4,2,1,0,1
C00293,Organic Search,2026-05-03,1,38,opted_in,import,15,2,5,2,1,1
C00294,Organic Search,2026-03-13,1,47,opted_in,event,13,3,8,0,1,0
C00295,Organic Search,2026-03-17,1,83,opted_in,gated_content,8,2,5,0,0,0
C00296,Organic Search,2026-01-08,1,13,opted_in,newsletter,20,3,7,1,1,0
C00297,Organic Search,2026-03-27,1,68,opted_in,gated_content,10,3,6,0,1,0
C00298,Organic Search,2025-12-06,1,188,opted_in,import,8,0,4,2,1,0
C00299,Organic Search,2026-05-03,1,35,opted_in,newsletter,14,2,6,0,1,0
C00300,Organic Search,2025-12-09,1,173,opted_in,event,16,3,4,1,0,0
C00301,Organic Search,2026-03-02,1,65,opted_in,newsletter,15,2,2,1,0,0
C00302,Organic Search,2026-02-17,1,86,opted_out,signup_form,13,3,0,1,1,0
C00303,Organic Search,2025-12-13,1,94,opted_in,newsletter,10,1,3,1,0,1
C00304,Organic Search,2026-05-10,1,30,opted_in,gated_content,11,3,3,1,1,0
C00305,Organic Search,2026-03-03,1,19,opted_in,signup_form,12,4,6,0,1,0
C00306,Organic Search,2026-04-26,1,47,opted_in,event,15,3,2,1,1,0
C00307,Organic Search,2026-03-18,1,47,opted_in,gated_content,7,3,9,1,0,0
C00308,Organic Search,2026-03-20,1,40,opted_in,event,13,4,4,1,0,0
C00309,Organic Search,2026-04-05,1,32,opted_in,newsletter,16,3,4,1,1,0
C00310,Organic Search,2026-02-05,1,20,opted_out,event,14,3,0,2,0,0
C00311,Organic Search,2025-12-10,1,191,opted_in,gated_content,14,1,5,1,1,0
C00312,Organic Search,2026-04-19,1,63,opted_in,event,8,2,4,0,1,0
C00313,Organic Search,2026-02-26,1,61,opted_in,newsletter,6,1,3,1,0,0
C00314,Organic Search,2026-01-16,1,18,opted_in,newsletter,10,1,3,1,0,0
C00315,Organic Search,2025-12-10,1,119,opted_in,gated_content,12,2,5,0,1,0
C00316,Organic Search,2026-03-11,1,16,opted_in,signup_form,7,3,2,0,1,0
C00317,Organic Search,2026-04-13,1,61,opted_in,newsletter,15,4,3,1,1,0
C00318,Organic Search,2026-02-09,1,124,opted_in,gated_content,9,3,4,2,0,0
C00319,Organic Search,2026-02-21,1,116,opted_in,newsletter,11,2,3,0,0,0
C00320,Organic Search,2025-12-19,1,75,opted_in,gated_content,14,5,4,1,1,0
C00321,Paid Search,2026-01-11,1,120,opted_in,event,16,4,5,2,1,1
C00322,Paid Search,2026-04-01,1,11,opted_in,event,6,1,1,1,0,0
C00323,Paid Search,2026-01-24,1,99,opted_in,event,7,2,4,1,0,0
C00324,Paid Search,2026-04-27,1,42,opted_out,gated_content,14,1,0,1,1,0
C00325,Paid Search,2026-02-01,1,93,opted_out,gated_content,8,2,0,1,0,0
C00326,Paid Search,2026-01-06,1,153,opted_in,gated_content,9,2,5,1,0,0
C00327,Paid Search,2026-04-08,1,34,opted_out,import,16,3,0,0,1,1
C00328,Paid Search,2026-02-25,1,55,opted_in,signup_form,6,2,1,2,1,1
C00329,Paid Search,2026-05-26,1,17,opted_in,import,12,1,1,0,0,0
C00330,Paid Search,2026-05-18,1,27,opted_in,event,9,2,2,2,1,0
C00331,Paid Search,2026-02-25,1,107,opted_in,newsletter,12,2,5,1,0,0
C00332,Paid Search,2026-04-21,1,29,opted_in,signup_form,14,4,5,1,1,0
C00333,Paid Search,2026-05-20,1,17,opted_out,gated_content,8,1,0,0,0,1
C00334,Paid Search,2025-12-06,1,152,opted_in,gated_content,3,2,1,2,0,0
C00335,Paid Search,2026-01-18,1,149,opted_out,gated_content,10,2,0,2,0,0
C00336,Paid Search,2026-05-22,1,17,unknown,unknown,16,3,0,2,1,0
C00337,Paid Search,2026-02-21,1,71,opted_in,event,10,2,4,1,0,0
C00338,Paid Search,2026-04-28,1,20,opted_in,signup_form,14,2,3,2,0,1
C00339,Paid Search,2026-02-12,1,108,opted_in,event,9,3,4,3,1,0
C00340,Paid Search,2026-05-26,1,5,opted_in,gated_content,11,2,1,0,0,0
C00341,Paid Search,2025-12-26,1,164,opted_in,event,11,0,3,0,0,0
C00342,Paid Search,2025-12-16,1,173,opted_in,signup_form,11,0,6,0,0,0
