customer_id,acquisition_channel,cohort_month,signup_date,order_id,order_date,order_value_eur
C00015,Email,2025-12,2025-12-14,C00015-3,2026-02-18,68.18
C00015,Email,2025-12,2025-12-14,C00015-4,2026-04-01,123.27
C00016,Email,2026-04,2026-04-26,C00016-1,2026-04-26,44.59
C00017,Email,2026-01,2026-01-13,C00017-1,2026-01-13,91.5
C00018,Email,2026-03,2026-03-11,C00018-1,2026-03-11,133.1
C00018,Email,2026-03,2026-03-11,C00018-2,2026-04-25,49.64
C00019,Email,2026-02,2026-02-24,C00019-1,2026-02-24,75.69
C00020,Email,2026-05,2026-05-09,C00020-1,2026-05-09,89.71
C00021,Email,2026-05,2026-05-02,C00021-1,2026-05-02,62.18
C00022,Email,2026-03,2026-03-27,C00022-1,2026-03-27,95.73
C00022,Email,2026-03,2026-03-27,C00022-2,2026-04-25,72.08
C00023,Email,2026-01,2026-01-21,C00023-1,2026-01-21,107.88
C00023,Email,2026-01,2026-01-21,C00023-2,2026-03-01,131.61
C00023,Email,2026-01,2026-01-21,C00023-3,2026-03-24,94.48
C00023,Email,2026-01,2026-01-21,C00023-4,2026-04-17,76.39
C00024,Email,2026-05,2026-05-11,C00024-1,2026-05-11,78.05
C00025,Email,2026-02,2026-02-28,C00025-1,2026-02-28,66.35
C00026,Email,2026-01,2026-01-22,C00026-1,2026-01-22,98.39
C00026,Email,2026-01,2026-01-22,C00026-2,2026-02-17,51.18
C00027,Email,2025-12,2025-12-04,C00027-1,2025-12-04,92.63
C00028,Email,2026-05,2026-05-02,C00028-1,2026-05-02,79.9
C00029,Email,2026-01,2026-01-21,C00029-1,2026-01-21,49.68
C00030,Email,2026-04,2026-04-08,C00030-1,2026-04-08,85.8
C00031,Email,2026-01,2026-01-21,C00031-1,2026-01-21,59.92
C00031,Email,2026-01,2026-01-21,C00031-2,2026-02-27,67.71
C00032,Email,2025-12,2025-12-06,C00032-1,2025-12-06,94.57
C00032,Email,2025-12,2025-12-06,C00032-2,2025-12-13,101.66
C00032,Email,2025-12,2025-12-06,C00032-3,2026-02-08,125.63
C00032,Email,2025-12,2025-12-06,C00032-4,2026-03-19,47.69
C00033,Email,2026-05,2026-05-26,C00033-1,2026-05-26,65.37
C00034,Email,2026-02,2026-02-23,C00034-1,2026-02-23,91.49
C00035,Email,2026-03,2026-03-07,C00035-1,2026-03-07,119.32
C00035,Email,2026-03,2026-03-07,C00035-2,2026-04-19,101.1
C00035,Email,2026-03,2026-03-07,C00035-3,2026-05-30,77.63
C00036,Email,2026-01,2026-01-21,C00036-1,2026-01-21,108.49
C00036,Email,2026-01,2026-01-21,C00036-2,2026-03-02,75.52
C00037,Email,2026-05,2026-05-24,C00037-1,2026-05-24,132.13
C00038,Email,2026-04,2026-04-02,C00038-1,2026-04-02,121.12
C00038,Email,2026-04,2026-04-02,C00038-2,2026-04-26,84.3
C00039,Email,2026-05,2026-05-17,C00039-1,2026-05-17,118.77
C00040,Email,2026-05,2026-05-23,C00040-1,2026-05-23,104.36
C00041,Email,2026-01,2026-01-10,C00041-1,2026-01-10,50.24
C00041,Email,2026-01,2026-01-10,C00041-2,2026-02-08,104.15
C00042,Email,2026-02,2026-02-08,C00042-1,2026-02-08,77.06
C00043,Email,2026-04,2026-04-20,C00043-1,2026-04-20,138.61
C00044,Email,2026-05,2026-05-10,C00044-1,2026-05-10,129.79
C00045,Email,2025-12,2025-12-21,C00045-1,2025-12-21,134.59
C00046,Email,2026-04,2026-04-15,C00046-1,2026-04-15,95.57
C00047,Email,2026-05,2026-05-12,C00047-1,2026-05-12,105.73
C00048,Email,2026-05,2026-05-24,C00048-1,2026-05-24,81.36
C00049,Email,2025-12,2025-12-02,C00049-1,2025-12-02,113.02
C00050,Email,2026-03,2026-03-17,C00050-1,2026-03-17,34.26
C00050,Email,2026-03,2026-03-17,C00050-2,2026-04-30,28.46
C00051,Email,2026-04,2026-04-09,C00051-1,2026-04-09,95.32
C00052,Email,2026-01,2026-01-21,C00052-1,2026-01-21,65.51
C00053,Email,2026-05,2026-05-25,C00053-1,2026-05-25,66.65
C00054,Email,2026-01,2026-01-20,C00054-1,2026-01-20,78.38
C00054,Email,2026-01,2026-01-20,C00054-2,2026-02-28,91.31
C00055,Email,2026-04,2026-04-13,C00055-1,2026-04-13,66.47
C00055,Email,2026-04,2026-04-13,C00055-2,2026-05-05,87.17
C00056,Email,2026-01,2026-01-27,C00056-1,2026-01-27,135.96
C00056,Email,2026-01,2026-01-27,C00056-2,2026-02-24,73.52
C00057,Email,2025-12,2025-12-02,C00057-1,2025-12-02,102.19
C00058,Email,2026-04,2026-04-28,C00058-1,2026-04-28,59.62
C00058,Email,2026-04,2026-04-28,C00058-2,2026-05-25,80.84
C00059,Email,2026-02,2026-02-07,C00059-1,2026-02-07,118.07
C00059,Email,2026-02,2026-02-07,C00059-2,2026-03-04,87.85
C00059,Email,2026-02,2026-02-07,C00059-3,2026-03-22,79.08
C00059,Email,2026-02,2026-02-07,C00059-4,2026-04-30,103.68
C00060,Email,2026-02,2026-02-14,C00060-1,2026-02-14,104.13
C00060,Email,2026-02,2026-02-14,C00060-2,2026-04-04,67.49
C00061,Email,2026-05,2026-05-06,C00061-1,2026-05-06,99.94
C00062,Email,2026-01,2026-01-05,C00062-1,2026-01-05,72.09
C00063,Email,2026-04,2026-04-23,C00063-1,2026-04-23,130.36
C00063,Email,2026-04,2026-04-23,C00063-2,2026-05-25,47.75
C00064,Email,2025-12,2025-12-25,C00064-1,2025-12-25,93.26
C00064,Email,2025-12,2025-12-25,C00064-2,2026-01-26,69.0
C00064,Email,2025-12,2025-12-25,C00064-3,2026-02-22,137.5
C00065,Email,2026-01,2026-01-04,C00065-1,2026-01-04,13.25
C00065,Email,2026-01,2026-01-04,C00065-2,2026-03-01,76.62
C00065,Email,2026-01,2026-01-04,C00065-3,2026-03-30,92.78
C00065,Email,2026-01,2026-01-04,C00065-4,2026-04-12,86.33
C00066,Email,2025-12,2025-12-11,C00066-1,2025-12-11,91.61
C00066,Email,2025-12,2025-12-11,C00066-2,2026-01-13,86.73
C00067,Email,2025-12,2025-12-16,C00067-1,2025-12-16,93.96
C00068,Email,2026-02,2026-02-21,C00068-1,2026-02-21,130.19
C00068,Email,2026-02,2026-02-21,C00068-2,2026-03-23,92.77
C00068,Email,2026-02,2026-02-21,C00068-3,2026-05-03,52.43
C00069,Email,2025-12,2025-12-17,C00069-1,2025-12-17,57.08
C00069,Email,2025-12,2025-12-17,C00069-2,2026-01-27,80.12
C00069,Email,2025-12,2025-12-17,C00069-3,2026-03-21,84.76
C00070,Email,2026-01,2026-01-04,C00070-1,2026-01-04,82.4
C00071,Email,2026-05,2026-05-24,C00071-1,2026-05-24,130.67
C00072,Email,2026-02,2026-02-02,C00072-1,2026-02-02,114.7
C00073,Email,2026-03,2026-03-11,C00073-1,2026-03-11,82.41
C00073,Email,2026-03,2026-03-11,C00073-2,2026-04-08,99.1
C00073,Email,2026-03,2026-03-11,C00073-3,2026-05-03,71.14
C00074,Email,2025-12,2025-12-24,C00074-1,2025-12-24,72.37
C00075,Email,2026-04,2026-04-12,C00075-1,2026-04-12,95.24
C00075,Email,2026-04,2026-04-12,C00075-2,2026-04-30,70.32
C00076,Email,2026-03,2026-03-04,C00076-1,2026-03-04,130.91
C00077,Email,2026-05,2026-05-08,C00077-1,2026-05-08,128.14
C00078,Email,2026-02,2026-02-01,C00078-1,2026-02-01,56.19
C00078,Email,2026-02,2026-02-01,C00078-2,2026-03-07,92.65
C00079,Email,2026-03,2026-03-13,C00079-1,2026-03-13,92.22
C00079,Email,2026-03,2026-03-13,C00079-2,2026-04-12,73.21
C00080,Email,2026-01,2026-01-22,C00080-1,2026-01-22,57.61
C00080,Email,2026-01,2026-01-22,C00080-2,2026-03-10,90.25
C00081,Email,2026-02,2026-02-22,C00081-1,2026-02-22,50.09
C00081,Email,2026-02,2026-02-22,C00081-2,2026-03-05,78.39
C00082,Email,2026-03,2026-03-20,C00082-1,2026-03-20,105.19
C00082,Email,2026-03,2026-03-20,C00082-2,2026-04-02,59.41
C00083,Email,2025-12,2025-12-13,C00083-1,2025-12-13,47.45
C00083,Email,2025-12,2025-12-13,C00083-2,2026-01-27,60.62
C00083,Email,2025-12,2025-12-13,C00083-3,2026-02-16,45.37
C00084,Email,2026-03,2026-03-07,C00084-1,2026-03-07,47.56
C00085,Email,2026-01,2026-01-04,C00085-1,2026-01-04,71.81
C00086,Email,2026-05,2026-05-17,C00086-1,2026-05-17,88.05
C00087,Email,2026-03,2026-03-06,C00087-1,2026-03-06,63.71
C00088,Email,2026-01,2026-01-28,C00088-1,2026-01-28,95.54
C00088,Email,2026-01,2026-01-28,C00088-2,2026-02-08,121.95
C00089,Email,2026-04,2026-04-17,C00089-1,2026-04-17,99.98
C00089,Email,2026-04,2026-04-17,C00089-2,2026-05-21,147.72
C00090,Email,2026-05,2026-05-13,C00090-1,2026-05-13,77.67
C00090,Email,2026-05,2026-05-13,C00090-2,2026-05-30,133.61
C00091,Email,2026-03,2026-03-15,C00091-1,2026-03-15,97.29
C00092,Email,2026-02,2026-02-07,C00092-1,2026-02-07,117.44
C00092,Email,2026-02,2026-02-07,C00092-2,2026-02-23,111.99
C00092,Email,2026-02,2026-02-07,C00092-3,2026-04-12,109.51
C00093,Email,2026-04,2026-04-10,C00093-1,2026-04-10,99.98
C00093,Email,2026-04,2026-04-10,C00093-2,2026-05-27,68.03
C00094,Email,2026-02,2026-02-06,C00094-1,2026-02-06,74.34
C00094,Email,2026-02,2026-02-06,C00094-2,2026-03-24,126.82
C00094,Email,2026-02,2026-02-06,C00094-3,2026-04-26,67.27
C00095,Email,2026-05,2026-05-27,C00095-1,2026-05-27,92.19
C00096,Email,2025-12,2025-12-11,C00096-1,2025-12-11,68.95
C00097,Email,2026-03,2026-03-26,C00097-1,2026-03-26,96.27
C00097,Email,2026-03,2026-03-26,C00097-2,2026-04-19,64.26
C00098,Email,2026-01,2026-01-27,C00098-1,2026-01-27,85.62
C00098,Email,2026-01,2026-01-27,C00098-2,2026-03-05,53.21
C00098,Email,2026-01,2026-01-27,C00098-3,2026-04-20,59.69
C00099,Email,2025-12,2025-12-02,C00099-1,2025-12-02,40.42
C00100,Email,2026-01,2026-01-26,C00100-1,2026-01-26,74.77
C00101,Email,2026-05,2026-05-28,C00101-1,2026-05-28,41.43
C00102,Email,2026-03,2026-03-16,C00102-1,2026-03-16,143.33
C00103,Email,2026-05,2026-05-25,C00103-1,2026-05-25,123.04
C00104,Email,2026-05,2026-05-26,C00104-1,2026-05-26,95.66
C00105,Email,2026-01,2026-01-13,C00105-1,2026-01-13,57.05
C00106,Email,2026-05,2026-05-14,C00106-1,2026-05-14,66.59
C00107,Email,2026-01,2026-01-06,C00107-1,2026-01-06,83.88
C00108,Email,2026-01,2026-01-18,C00108-1,2026-01-18,68.42
C00108,Email,2026-01,2026-01-18,C00108-2,2026-02-21,85.03
C00109,Email,2026-02,2026-02-22,C00109-1,2026-02-22,117.12
C00110,Email,2026-02,2026-02-12,C00110-1,2026-02-12,57.73
C00111,Email,2026-03,2026-03-16,C00111-1,2026-03-16,122.81
C00112,Email,2025-12,2025-12-09,C00112-1,2025-12-09,74.11
C00113,Email,2026-04,2026-04-18,C00113-1,2026-04-18,95.25
C00113,Email,2026-04,2026-04-18,C00113-2,2026-05-18,96.5
C00114,Email,2026-02,2026-02-03,C00114-1,2026-02-03,80.8
C00114,Email,2026-02,2026-02-03,C00114-2,2026-03-06,94.75
C00115,Email,2026-02,2026-02-26,C00115-1,2026-02-26,70.19
C00115,Email,2026-02,2026-02-26,C00115-2,2026-03-19,83.06
C00115,Email,2026-02,2026-02-26,C00115-3,2026-04-04,104.09
C00116,Email,2026-02,2026-02-17,C00116-1,2026-02-17,81.95
C00116,Email,2026-02,2026-02-17,C00116-2,2026-03-24,88.92
C00116,Email,2026-02,2026-02-17,C00116-3,2026-04-27,56.15
C00117,Email,2026-01,2026-01-12,C00117-1,2026-01-12,102.92
C00117,Email,2026-01,2026-01-12,C00117-2,2026-02-17,103.03
C00118,Email,2026-02,2026-02-10,C00118-1,2026-02-10,56.87
C00118,Email,2026-02,2026-02-10,C00118-2,2026-03-29,104.44
C00119,Email,2025-12,2025-12-06,C00119-1,2025-12-06,92.5
C00120,Email,2026-05,2026-05-14,C00120-1,2026-05-14,75.87
C00121,Email,2026-05,2026-05-12,C00121-1,2026-05-12,72.62
C00122,Email,2026-02,2026-02-07,C00122-1,2026-02-07,95.33
C00122,Email,2026-02,2026-02-07,C00122-2,2026-03-30,75.96
C00122,Email,2026-02,2026-02-07,C00122-3,2026-04-24,90.49
C00123,Email,2026-04,2026-04-11,C00123-1,2026-04-11,108.94
C00124,Email,2026-03,2026-03-20,C00124-1,2026-03-20,108.87
C00124,Email,2026-03,2026-03-20,C00124-2,2026-04-28,60.31
C00125,Email,2025-12,2025-12-08,C00125-1,2025-12-08,99.46
C00125,Email,2025-12,2025-12-08,C00125-2,2026-01-06,72.2
C00126,Email,2026-03,2026-03-17,C00126-1,2026-03-17,62.05
C00127,Email,2025-12,2025-12-22,C00127-1,2025-12-22,82.3
C00128,Email,2026-04,2026-04-21,C00128-1,2026-04-21,102.18
C00129,Email,2026-01,2026-01-20,C00129-1,2026-01-20,104.96
C00130,Email,2026-01,2026-01-16,C00130-1,2026-01-16,73.87
C00130,Email,2026-01,2026-01-16,C00130-2,2026-02-13,73.21
C00131,Email,2025-12,2025-12-27,C00131-1,2025-12-27,51.85
C00132,Email,2026-04,2026-04-16,C00132-1,2026-04-16,118.84
C00132,Email,2026-04,2026-04-16,C00132-2,2026-05-23,75.81
C00133,Email,2026-01,2026-01-17,C00133-1,2026-01-17,128.79
C00133,Email,2026-01,2026-01-17,C00133-2,2026-03-16,71.31
C00133,Email,2026-01,2026-01-17,C00133-3,2026-04-20,66.4
C00133,Email,2026-01,2026-01-17,C00133-4,2026-05-31,63.11
C00134,Email,2026-01,2026-01-15,C00134-1,2026-01-15,86.77
C00134,Email,2026-01,2026-01-15,C00134-2,2026-02-15,50.64
C00135,Email,2026-05,2026-05-17,C00135-1,2026-05-17,93.21
C00136,Email,2026-02,2026-02-20,C00136-1,2026-02-20,116.19
C00136,Email,2026-02,2026-02-20,C00136-2,2026-04-14,84.75
C00137,Email,2026-05,2026-05-20,C00137-1,2026-05-20,106.54
C00138,Email,2026-03,2026-03-26,C00138-1,2026-03-26,45.18
C00138,Email,2026-03,2026-03-26,C00138-2,2026-04-24,84.39
C00138,Email,2026-03,2026-03-26,C00138-3,2026-05-20,51.36
C00139,Email,2026-03,2026-03-27,C00139-1,2026-03-27,90.45
C00140,Email,2026-02,2026-02-28,C00140-1,2026-02-28,83.89
C00140,Email,2026-02,2026-02-28,C00140-2,2026-04-12,100.84
C00140,Email,2026-02,2026-02-28,C00140-3,2026-05-06,47.72
C00141,Email,2026-02,2026-02-16,C00141-1,2026-02-16,60.19
C00141,Email,2026-02,2026-02-16,C00141-2,2026-03-27,109.14
C00141,Email,2026-02,2026-02-16,C00141-3,2026-04-29,125.87
C00141,Email,2026-02,2026-02-16,C00141-4,2026-05-21,69.72
C00142,Email,2026-05,2026-05-16,C00142-1,2026-05-16,100.44
C00143,Email,2026-02,2026-02-11,C00143-1,2026-02-11,73.21
C00144,Email,2026-04,2026-04-04,C00144-1,2026-04-04,91.1
C00144,Email,2026-04,2026-04-04,C00144-2,2026-05-10,80.15
C00145,Email,2026-01,2026-01-08,C00145-1,2026-01-08,101.74
C00146,Email,2025-12,2025-12-11,C00146-1,2025-12-11,87.28
C00146,Email,2025-12,2025-12-11,C00146-2,2026-01-07,68.1
C00146,Email,2025-12,2025-12-11,C00146-3,2026-02-12,77.92
C00147,Email,2026-03,2026-03-20,C00147-1,2026-03-20,25.7
C00148,Email,2026-01,2026-01-23,C00148-1,2026-01-23,79.0
C00149,Email,2026-02,2026-02-11,C00149-1,2026-02-11,108.02
C00149,Email,2026-02,2026-02-11,C00149-2,2026-03-16,113.15
C00149,Email,2026-02,2026-02-11,C00149-3,2026-05-08,115.22
C00150,Email,2026-04,2026-04-23,C00150-1,2026-04-23,85.05
C00150,Email,2026-04,2026-04-23,C00150-2,2026-05-18,109.43
C00151,Organic Search,2026-02,2026-02-03,C00151-1,2026-02-03,49.49
C00152,Organic Search,2026-01,2026-01-12,C00152-1,2026-01-12,73.99
C00152,Organic Search,2026-01,2026-01-12,C00152-2,2026-01-26,27.97
C00152,Organic Search,2026-01,2026-01-12,C00152-3,2026-02-18,112.17
C00153,Organic Search,2026-02,2026-02-04,C00153-1,2026-02-04,62.5
C00153,Organic Search,2026-02,2026-02-04,C00153-2,2026-03-14,63.52
C00154,Organic Search,2026-01,2026-01-13,C00154-1,2026-01-13,40.3
C00155,Organic Search,2026-04,2026-04-03,C00155-1,2026-04-03,55.39
C00156,Organic Search,2026-03,2026-03-03,C00156-1,2026-03-03,64.9
C00157,Organic Search,2026-05,2026-05-07,C00157-1,2026-05-07,127.93
C00158,Organic Search,2026-02,2026-02-22,C00158-1,2026-02-22,65.45
C00158,Organic Search,2026-02,2026-02-22,C00158-2,2026-03-26,63.42
C00158,Organic Search,2026-02,2026-02-22,C00158-3,2026-04-18,96.25
C00159,Organic Search,2026-02,2026-02-01,C00159-1,2026-02-01,44.12
C00159,Organic Search,2026-02,2026-02-01,C00159-2,2026-03-02,87.07
C00159,Organic Search,2026-02,2026-02-01,C00159-3,2026-04-06,70.84
C00160,Organic Search,2026-05,2026-05-23,C00160-1,2026-05-23,70.77
C00161,Organic Search,2026-05,2026-05-15,C00161-1,2026-05-15,62.9
C00162,Organic Search,2026-04,2026-04-12,C00162-1,2026-04-12,120.19
C00163,Organic Search,2026-03,2026-03-14,C00163-1,2026-03-14,50.46
C00163,Organic Search,2026-03,2026-03-14,C00163-2,2026-04-05,72.49
C00163,Organic Search,2026-03,2026-03-14,C00163-3,2026-05-05,66.37
C00164,Organic Search,2026-05,2026-05-02,C00164-1,2026-05-02,76.03
C00164,Organic Search,2026-05,2026-05-02,C00164-2,2026-05-24,102.67
C00165,Organic Search,2025-12,2025-12-17,C00165-1,2025-12-17,125.46
C00166,Organic Search,2025-12,2025-12-17,C00166-1,2025-12-17,82.92
C00167,Organic Search,2025-12,2025-12-01,C00167-1,2025-12-01,77.83
C00167,Organic Search,2025-12,2025-12-01,C00167-2,2025-12-18,54.61
C00168,Organic Search,2026-05,2026-05-16,C00168-1,2026-05-16,89.23
C00169,Organic Search,2026-01,2026-01-15,C00169-1,2026-01-15,106.17
C00170,Organic Search,2026-01,2026-01-07,C00170-1,2026-01-07,50.61
C00171,Organic Search,2026-01,2026-01-14,C00171-1,2026-01-14,98.46
C00171,Organic Search,2026-01,2026-01-14,C00171-2,2026-03-11,64.87
C00171,Organic Search,2026-01,2026-01-14,C00171-3,2026-05-01,79.45
C00172,Organic Search,2026-05,2026-05-04,C00172-1,2026-05-04,71.0
C00173,Organic Search,2026-04,2026-04-25,C00173-1,2026-04-25,72.02
C00174,Organic Search,2026-05,2026-05-18,C00174-1,2026-05-18,80.27
C00175,Organic Search,2026-01,2026-01-25,C00175-1,2026-01-25,96.31
C00176,Organic Search,2026-03,2026-03-05,C00176-1,2026-03-05,113.69
C00177,Organic Search,2025-12,2025-12-19,C00177-1,2025-12-19,80.69
C00177,Organic Search,2025-12,2025-12-19,C00177-2,2026-02-13,101.57
C00178,Organic Search,2026-02,2026-02-13,C00178-1,2026-02-13,109.38
C00178,Organic Search,2026-02,2026-02-13,C00178-2,2026-03-30,103.07
C00179,Organic Search,2026-05,2026-05-15,C00179-1,2026-05-15,96.16
C00180,Organic Search,2026-01,2026-01-21,C00180-1,2026-01-21,77.93
C00180,Organic Search,2026-01,2026-01-21,C00180-2,2026-02-15,105.39
C00181,Organic Search,2026-01,2026-01-11,C00181-1,2026-01-11,99.76
C00181,Organic Search,2026-01,2026-01-11,C00181-2,2026-02-10,82.77
C00182,Organic Search,2026-03,2026-03-24,C00182-1,2026-03-24,100.03
C00182,Organic Search,2026-03,2026-03-24,C00182-2,2026-04-28,81.99
C00183,Organic Search,2026-02,2026-02-16,C00183-1,2026-02-16,77.13
C00183,Organic Search,2026-02,2026-02-16,C00183-2,2026-03-16,77.14
C00184,Organic Search,2026-05,2026-05-09,C00184-1,2026-05-09,73.55
C00185,Organic Search,2025-12,2025-12-11,C00185-1,2025-12-11,86.39
C00185,Organic Search,2025-12,2025-12-11,C00185-2,2026-01-18,97.34
C00185,Organic Search,2025-12,2025-12-11,C00185-3,2026-02-17,122.2
C00185,Organic Search,2025-12,2025-12-11,C00185-4,2026-03-13,98.12
C00186,Organic Search,2026-02,2026-02-21,C00186-1,2026-02-21,66.52
C00187,Organic Search,2026-04,2026-04-06,C00187-1,2026-04-06,47.71
C00188,Organic Search,2026-01,2026-01-11,C00188-1,2026-01-11,96.52
C00188,Organic Search,2026-01,2026-01-11,C00188-2,2026-02-09,105.56
C00189,Organic Search,2026-01,2026-01-28,C00189-1,2026-01-28,105.38
C00190,Organic Search,2025-12,2025-12-26,C00190-1,2025-12-26,62.25
C00191,Organic Search,2026-05,2026-05-15,C00191-1,2026-05-15,129.83
C00191,Organic Search,2026-05,2026-05-15,C00191-2,2026-05-22,51.37
C00192,Organic Search,2026-05,2026-05-05,C00192-1,2026-05-05,77.79
C00193,Organic Search,2025-12,2025-12-13,C00193-1,2025-12-13,73.52
C00193,Organic Search,2025-12,2025-12-13,C00193-2,2026-01-05,120.14
C00194,Organic Search,2026-05,2026-05-06,C00194-1,2026-05-06,41.1
C00195,Organic Search,2025-12,2025-12-10,C00195-1,2025-12-10,103.71
C00196,Organic Search,2026-02,2026-02-19,C00196-1,2026-02-19,81.06
C00197,Organic Search,2026-04,2026-04-23,C00197-1,2026-04-23,82.77
C00198,Organic Search,2025-12,2025-12-22,C00198-1,2025-12-22,90.83
C00199,Organic Search,2026-04,2026-04-21,C00199-1,2026-04-21,127.95
C00199,Organic Search,2026-04,2026-04-21,C00199-2,2026-05-21,65.5
C00200,Organic Search,2025-12,2025-12-28,C00200-1,2025-12-28,115.52
C00200,Organic Search,2025-12,2025-12-28,C00200-2,2026-01-24,88.0
C00201,Organic Search,2026-01,2026-01-09,C00201-1,2026-01-09,89.22
C00202,Organic Search,2026-01,2026-01-15,C00202-1,2026-01-15,118.42
C00203,Organic Search,2026-04,2026-04-28,C00203-1,2026-04-28,47.96
C00204,Organic Search,2026-04,2026-04-21,C00204-1,2026-04-21,49.91
C00205,Organic Search,2026-03,2026-03-15,C00205-1,2026-03-15,92.73
C00206,Organic Search,2026-03,2026-03-05,C00206-1,2026-03-05,97.1
C00206,Organic Search,2026-03,2026-03-05,C00206-2,2026-03-17,71.8
C00206,Organic Search,2026-03,2026-03-05,C00206-3,2026-04-29,82.69
C00207,Organic Search,2026-03,2026-03-14,C00207-1,2026-03-14,56.25
C00207,Organic Search,2026-03,2026-03-14,C00207-2,2026-04-28,101.35
C00207,Organic Search,2026-03,2026-03-14,C00207-3,2026-05-15,43.16
C00208,Organic Search,2026-04,2026-04-03,C00208-1,2026-04-03,88.7
C00208,Organic Search,2026-04,2026-04-03,C00208-2,2026-05-09,48.68
C00209,Organic Search,2026-04,2026-04-20,C00209-1,2026-04-20,48.09
C00210,Organic Search,2026-05,2026-05-24,C00210-1,2026-05-24,87.06
C00211,Organic Search,2026-01,2026-01-13,C00211-1,2026-01-13,51.9
C00211,Organic Search,2026-01,2026-01-13,C00211-2,2026-02-24,112.44
C00211,Organic Search,2026-01,2026-01-13,C00211-3,2026-03-25,93.25
C00211,Organic Search,2026-01,2026-01-13,C00211-4,2026-05-05,106.85
C00212,Organic Search,2026-04,2026-04-07,C00212-1,2026-04-07,86.1
C00212,Organic Search,2026-04,2026-04-07,C00212-2,2026-05-01,71.63
C00213,Organic Search,2026-01,2026-01-21,C00213-1,2026-01-21,123.57
C00213,Organic Search,2026-01,2026-01-21,C00213-2,2026-02-28,42.42
C00214,Organic Search,2026-02,2026-02-15,C00214-1,2026-02-15,84.57
C00215,Organic Search,2026-02,2026-02-07,C00215-1,2026-02-07,64.41
C00215,Organic Search,2026-02,2026-02-07,C00215-2,2026-02-19,91.63
C00216,Organic Search,2026-03,2026-03-14,C00216-1,2026-03-14,108.05
C00217,Organic Search,2025-12,2025-12-09,C00217-1,2025-12-09,66.79
C00218,Organic Search,2026-02,2026-02-13,C00218-1,2026-02-13,84.51
C00218,Organic Search,2026-02,2026-02-13,C00218-2,2026-03-10,61.6
C00218,Organic Search,2026-02,2026-02-13,C00218-3,2026-04-04,74.07
C00219,Organic Search,2026-01,2026-01-13,C00219-1,2026-01-13,84.1
C00220,Organic Search,2026-02,2026-02-12,C00220-1,2026-02-12,72.39
C00220,Organic Search,2026-02,2026-02-12,C00220-2,2026-03-06,58.66
C00221,Organic Search,2026-04,2026-04-22,C00221-1,2026-04-22,65.7
C00221,Organic Search,2026-04,2026-04-22,C00221-2,2026-05-26,74.54
C00222,Organic Search,2026-03,2026-03-11,C00222-1,2026-03-11,81.73
C00223,Organic Search,2026-02,2026-02-09,C00223-1,2026-02-09,86.95
C00224,Organic Search,2026-04,2026-04-16,C00224-1,2026-04-16,99.22
C00225,Organic Search,2025-12,2025-12-14,C00225-1,2025-12-14,21.58
C00226,Organic Search,2026-05,2026-05-06,C00226-1,2026-05-06,94.7
C00227,Organic Search,2026-05,2026-05-05,C00227-1,2026-05-05,71.79
C00228,Organic Search,2026-01,2026-01-01,C00228-1,2026-01-01,79.22
C00229,Organic Search,2026-02,2026-02-13,C00229-1,2026-02-13,93.82
